"","biosample_id","organism","subspecies","strain","host","host_taxid","isolation_source","env_local_scale","collected_by","geo_loc_name","collection_date","first_public","lat_lon","year","type","public.year"
"NZ_AP023225.1","SAMD00157542","Escherichia coli",NA,"YJ1","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2018-03",NA,"16.866069 N 96.195132 E",2018,"plasmid",NA
"NZ_AP023226.1","SAMD00157544","Escherichia coli",NA,"YJ3","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2018-03",NA,"16.866069 N 96.195132 E",2018,"chromosome",NA
"NZ_AP023228.1","SAMD00157544","Escherichia coli",NA,"YJ3","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2018-03",NA,"16.866069 N 96.195132 E",2018,"plasmid",NA
"NZ_AP023231.2","SAMD00157545","Escherichia coli",NA,"YJ4","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2018-03",NA,"16.866069 N 96.195132 E",2018,"plasmid",NA
"NZ_AP023232.2","SAMD00157545","Escherichia coli",NA,"YJ4","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2018-03",NA,"16.866069 N 96.195132 E",2018,"plasmid",NA
"NZ_AP023236.1","SAMD00157547","Escherichia coli",NA,"YJ6","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2018-03",NA,"16.866069 N 96.195132 E",2018,"plasmid",NA
"NZ_AP023237.1","SAMD00157562","Escherichia coli",NA,"F070",NA,NA,NA,"not applicable",NA,"Myanmar:Yangon","2017-12-11",NA,"16.866069 N 96.195132 E",2017,"chromosome",NA
"NZ_AP023238.1","SAMD00157562","Escherichia coli",NA,"F070",NA,NA,NA,"not applicable",NA,"Myanmar:Yangon","2017-12-11",NA,"16.866069 N 96.195132 E",2017,"plasmid",NA
"NZ_AP019665.1","SAMD00163748","Klebsiella pneumoniae",NA,"missing",NA,NA,NA,"not applicable",NA,"not applicable","2016-07-12",NA,"not applicable",2016,"chromosome",NA
"NZ_AP019667.1","SAMD00163748","Klebsiella pneumoniae",NA,"missing",NA,NA,NA,"not applicable",NA,"not applicable","2016-07-12",NA,"not applicable",2016,"plasmid",NA
"NZ_AP019668.1","SAMD00163748","Klebsiella pneumoniae",NA,"missing",NA,NA,NA,"not applicable",NA,"not applicable","2016-07-12",NA,"not applicable",2016,"plasmid",NA
"NZ_AP024560.1","SAMD00164387","Escherichia coli",NA,"NIPH17_0020","Homo sapiens",NA,NA,"not applicable",NA,"Cambodia:Phnom Penh","2017",NA,"11.576004 N 104.899048 E",2017,"chromosome",NA
"NZ_AP024561.1","SAMD00164388","Escherichia coli",NA,"NIPH17_0036","Homo sapiens",NA,NA,"not applicable",NA,"Cambodia:Phnom Penh","2017",NA,"11.576004 N 104.899048 E",2017,"chromosome",NA
"NZ_AP019818.1","SAMD00167169","Enterobacter hormaechei subsp. hoffmannii",NA,"OIPH-N069","Homo sapiens","9606.0",NA,"not applicable",NA,"Japan:Osaka","2016",NA,"not applicable",2016,"plasmid",NA
"NZ_AP019676.1","SAMD00168435","Escherichia coli",NA,"GSH8M-2",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08",NA,"35.631549 N 139.745949 E",2018,"plasmid",NA
"NZ_AP019678.1","SAMD00168435","Escherichia coli",NA,"GSH8M-2",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08",NA,"35.631549 N 139.745949 E",2018,"plasmid",NA
"NZ_AP024415.1","SAMD00169927","Acinetobacter baumannii",NA,"NIPH17_0019","Homo sapiens",NA,NA,"not applicable",NA,"Cambodia:Phnom Penh","2017",NA,"11.576004 N 104.899048 E",2017,"chromosome",NA
"NZ_AP019688.1","SAMD00171892","Klebsiella quasipneumoniae",NA,"SNI47",NA,NA,NA,"not applicable",NA,"not applicable","2018-02-01",NA,"not applicable",2018,"plasmid",NA
"NZ_AP019762.1","SAMD00172295","Escherichia coli O111:H-",NA,"110512","Homo sapiens",NA,NA,"missing",NA,"Japan","2011-05",NA,"missing",2011,"plasmid",NA
"NZ_AP023190.1","SAMD00172786","Escherichia coli",NA,"missing","Homo sapiens",NA,NA,"missing",NA,"missing","2018-04-24",NA,"missing",2018,"chromosome",NA
"NZ_AP023191.1","SAMD00172786","Escherichia coli",NA,"missing","Homo sapiens",NA,NA,"missing",NA,"missing","2018-04-24",NA,"missing",2018,"plasmid",NA
"NZ_AP023192.1","SAMD00172786","Escherichia coli",NA,"missing","Homo sapiens",NA,NA,"missing",NA,"missing","2018-04-24",NA,"missing",2018,"plasmid",NA
"NZ_AP023197.1","SAMD00172787","Escherichia coli",NA,"missing","Homo sapiens",NA,NA,"missing",NA,"missing","2018-05-01",NA,"missing",2018,"chromosome",NA
"NZ_AP023198.1","SAMD00172787","Escherichia coli",NA,"missing","Homo sapiens",NA,NA,"missing",NA,"missing","2018-05-01",NA,"missing",2018,"plasmid",NA
"NZ_AP023202.1","SAMD00172787","Escherichia coli",NA,"missing","Homo sapiens",NA,NA,"missing",NA,"missing","2018-05-01",NA,"missing",2018,"plasmid",NA
"NZ_AP022371.1","SAMD00185877","Providencia rettgeri",NA,"BML2496","Homo sapiens",NA,NA,"missing",NA,"Japan:Saitama","2018",NA,"missing",2018,"chromosome",NA
"NZ_AP022376.1","SAMD00185879","Providencia rettgeri",NA,"BML2531","Homo sapiens",NA,NA,"missing",NA,"Japan:Saitama","2018",NA,"missing",2018,"plasmid",NA
"NZ_AP022377.1","SAMD00185880","Providencia stuartii",NA,"BML2537","Homo sapiens",NA,NA,"missing",NA,"Japan:Saitama","2018",NA,"missing",2018,"plasmid",NA
"NZ_AP021880.1","SAMD00186795","Klebsiella pneumoniae",NA,"JUNP254","Homo sapiens",NA,NA,"missing",NA,"Nepal:Kathmandu","2018",NA,"27.7 N 85.3 E",2018,"chromosome",NA
"NZ_AP022362.1","SAMD00186874","Escherichia coli",NA,"E302","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Osaka","2015-12-01",NA,"missing",2015,"chromosome",NA
"NZ_AP021909.1","SAMD00194339","Klebsiella pneumoniae",NA,"WP2-S17-ESBL-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6640 N 139.4378 E",2017,"chromosome",NA
"NZ_AP021911.1","SAMD00194339","Klebsiella pneumoniae",NA,"WP2-S17-ESBL-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6640 N 139.4378 E",2017,"plasmid",NA
"NZ_AP021915.1","SAMD00194346","Escherichia coli",NA,"WP2-W18-CRE-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6640 N 139.4378 E",2018,"plasmid",NA
"NZ_AP021927.1","SAMD00194350","Aeromonas caviae",NA,"WP2-W18-ESBL-01",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6640 N 139.4378 E",2018,"chromosome",NA
"NZ_AP021929.1","SAMD00194355","Klebsiella pneumoniae",NA,"WP2-W18-ESBL-06",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6640 N 139.4378 E",2018,"chromosome",NA
"NZ_AP021931.1","SAMD00194355","Klebsiella pneumoniae",NA,"WP2-W18-ESBL-06",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6640 N 139.4378 E",2018,"plasmid",NA
"NZ_AP021934.1","SAMD00194357","Escherichia coli",NA,"WP2-W18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6640 N 139.4378 E",2018,"plasmid",NA
"NZ_AP021935.1","SAMD00194359","Escherichia coli",NA,"WP2-W18-ESBL-10",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6640 N 139.4378 E",2018,"chromosome",NA
"NZ_AP021936.1","SAMD00194360","Acinetobacter pittii",NA,"WP2-W18-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6640 N 139.4378 E",2018,"chromosome",NA
"NZ_AP021940.1","SAMD00194363","Aeromonas veronii",NA,"WP2-S18-CRE-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6640 N 139.4378 E",2018,"chromosome",NA
"NZ_AP021942.1","SAMD00194363","Aeromonas veronii",NA,"WP2-S18-CRE-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6640 N 139.4378 E",2018,"plasmid",NA
"NZ_AP021945.1","SAMD00194371","Escherichia coli",NA,"WP2-S18-ESBL-07",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6640 N 139.4378 E",2018,"plasmid",NA
"NZ_AP021948.1","SAMD00194372","Escherichia coli",NA,"WP2-S18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6640 N 139.4378 E",2018,"plasmid",NA
"NZ_AP021952.1","SAMD00194404","Klebsiella quasipneumoniae",NA,"WP3-W18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP021953.1","SAMD00194404","Klebsiella quasipneumoniae",NA,"WP3-W18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP021954.1","SAMD00194404","Klebsiella quasipneumoniae",NA,"WP3-W18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP021964.1","SAMD00194405","Escherichia coli",NA,"WP3-W18-CRE-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP021999.1","SAMD00194413","Escherichia coli",NA,"WP3-W18-ESBL-07",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP022003.1","SAMD00194414","Escherichia coli",NA,"WP3-W18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6684 N 139.4278 E",2018,"chromosome",NA
"NZ_AP022010.1","SAMD00194418","Klebsiella quasipneumoniae",NA,"WP3-S18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP022013.1","SAMD00194421","Aeromonas caviae",NA,"WP3-S18-ESBL-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6684 N 139.4278 E",2018,"chromosome",NA
"NZ_AP022017.1","SAMD00194422","Klebsiella quasipneumoniae",NA,"WP3-S18-ESBL-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP022018.1","SAMD00194422","Klebsiella quasipneumoniae",NA,"WP3-S18-ESBL-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
